"Statistic Label","CensusYear","Sex","At Work School or College","Time Leaving Home","Means of Travel","UNIT","VALUE"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","All departure times","Motorcycle or scooter","Number","487"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","All departure times","Motor car: Driver","Number","48278"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","All departure times","Motor car: Passenger","Number","17501"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","All departure times","Van","Number","467"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","All departure times","Other, incl. lorry","Number","247"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","All departure times","Not stated","Number","21872"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","All departure times","All means of travel","Number","201200"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","Before 06:30","On foot","Number","359"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","Before 06:30","Bicycle","Number","137"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","Before 06:30","Bus, minibus or coach","Number","1470"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","Before 06:30","Train, DART or LUAS","Number","570"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","Before 06:30","Motorcycle or scooter","Number","17"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","Before 06:30","Motor car: Driver","Number","1221"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","Before 06:30","Motor car: Passenger","Number","295"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","Before 06:30","Van","Number","44"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","Before 06:30","Other, incl. lorry","Number","9"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","Before 06:30","Not stated","Number","23"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","Before 06:30","All means of travel","Number","4145"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","06:30 - 07:00","On foot","Number","628"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","06:30 - 07:00","Bicycle","Number","240"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","06:30 - 07:00","Bus, minibus or coach","Number","5841"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","06:30 - 07:00","Train, DART or LUAS","Number","1829"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","06:30 - 07:00","Motorcycle or scooter","Number","28"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","06:30 - 07:00","Motor car: Driver","Number","4169"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","06:30 - 07:00","Motor car: Passenger","Number","906"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","06:30 - 07:00","Van","Number","89"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","06:30 - 07:00","Other, incl. lorry","Number","8"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","06:30 - 07:00","Not stated","Number","60"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","06:30 - 07:00","All means of travel","Number","13798"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","07:01 - 07:30","On foot","Number","596"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","07:01 - 07:30","Bicycle","Number","275"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","07:01 - 07:30","Bus, minibus or coach","Number","6418"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","07:01 - 07:30","Train, DART or LUAS","Number","1855"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","07:01 - 07:30","Motorcycle or scooter","Number","18"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","07:01 - 07:30","Motor car: Driver","Number","4375"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","07:01 - 07:30","Motor car: Passenger","Number","1291"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","07:01 - 07:30","Van","Number","79"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","07:01 - 07:30","Other, incl. lorry","Number","11"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","07:01 - 07:30","Not stated","Number","36"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","07:01 - 07:30","All means of travel","Number","14954"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","07:31 - 08:00","On foot","Number","3034"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","07:31 - 08:00","Bicycle","Number","956"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","07:31 - 08:00","Bus, minibus or coach","Number","12413"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","07:31 - 08:00","Train, DART or LUAS","Number","3849"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","07:31 - 08:00","Motorcycle or scooter","Number","74"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","07:31 - 08:00","Motor car: Driver","Number","11300"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","07:31 - 08:00","Motor car: Passenger","Number","3847"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","07:31 - 08:00","Van","Number","86"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","07:31 - 08:00","Other, incl. lorry","Number","31"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","07:31 - 08:00","Not stated","Number","124"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","07:31 - 08:00","All means of travel","Number","35714"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","08:01 - 08:30","On foot","Number","8588"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","08:01 - 08:30","Bicycle","Number","1677"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","08:01 - 08:30","Bus, minibus or coach","Number","6886"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","08:01 - 08:30","Train, DART or LUAS","Number","2299"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","08:01 - 08:30","Motorcycle or scooter","Number","103"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","08:01 - 08:30","Motor car: Driver","Number","11002"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","08:01 - 08:30","Motor car: Passenger","Number","5040"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","08:01 - 08:30","Van","Number","73"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","08:01 - 08:30","Other, incl. lorry","Number","32"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","08:01 - 08:30","Not stated","Number","133"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","08:01 - 08:30","All means of travel","Number","35833"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","08:31 - 09:00","On foot","Number","13646"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","08:31 - 09:00","Bicycle","Number","1874"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","08:31 - 09:00","Bus, minibus or coach","Number","6760"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","08:31 - 09:00","Train, DART or LUAS","Number","2219"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","08:31 - 09:00","Motorcycle or scooter","Number","113"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","08:31 - 09:00","Motor car: Driver","Number","8544"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","08:31 - 09:00","Motor car: Passenger","Number","3016"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","08:31 - 09:00","Van","Number","39"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","08:31 - 09:00","Other, incl. lorry","Number","34"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","08:31 - 09:00","Not stated","Number","121"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","08:31 - 09:00","All means of travel","Number","36366"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","09:01 - 09:30","On foot","Number","2603"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","09:01 - 09:30","Bicycle","Number","529"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","09:01 - 09:30","Bus, minibus or coach","Number","1738"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","09:01 - 09:30","Train, DART or LUAS","Number","652"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","09:01 - 09:30","Motorcycle or scooter","Number","27"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","09:01 - 09:30","Motor car: Driver","Number","1514"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","09:01 - 09:30","Motor car: Passenger","Number","757"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","09:01 - 09:30","Van","Number","14"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","09:01 - 09:30","Other, incl. lorry","Number","3"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","09:01 - 09:30","Not stated","Number","28"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","09:01 - 09:30","All means of travel","Number","7865"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","After 09:30","On foot","Number","8048"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","After 09:30","Bicycle","Number","1619"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","After 09:30","Bus, minibus or coach","Number","6061"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","After 09:30","Train, DART or LUAS","Number","2008"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","After 09:30","Motorcycle or scooter","Number","93"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","After 09:30","Motor car: Driver","Number","4010"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","After 09:30","Motor car: Passenger","Number","1568"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","After 09:30","Van","Number","16"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","After 09:30","Other, incl. lorry","Number","17"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","After 09:30","Not stated","Number","78"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","After 09:30","All means of travel","Number","23518"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","Not stated","On foot","Number","1735"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","Not stated","Bicycle","Number","281"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","Not stated","Bus, minibus or coach","Number","1976"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","Not stated","Train, DART or LUAS","Number","679"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","Not stated","Motorcycle or scooter","Number","14"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","Not stated","Motor car: Driver","Number","2143"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","Not stated","Motor car: Passenger","Number","781"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","Not stated","Van","Number","27"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","Not stated","Other, incl. lorry","Number","102"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","Not stated","Not stated","Number","21269"
"Population Usually Resident and Present in the State","2022","Both sexes","Students at school or college aged 19 years and over","Not stated","All means of travel","Number","29007"
"Population Usually Resident and Present in the State","2022","Male","All persons","All departure times","On foot","Number","201494"
"Population Usually Resident and Present in the State","2022","Male","All persons","All departure times","Bicycle","Number","70032"
"Population Usually Resident and Present in the State","2022","Male","All persons","All departure times","Bus, minibus or coach","Number","155230"
"Population Usually Resident and Present in the State","2022","Male","All persons","All departure times","Train, DART or LUAS","Number","42668"
"Population Usually Resident and Present in the State","2022","Male","All persons","All departure times","Motorcycle or scooter","Number","7658"
"Population Usually Resident and Present in the State","2022","Male","All persons","All departure times","Motor car: Driver","Number","611850"
"Population Usually Resident and Present in the State","2022","Male","All persons","All departure times","Motor car: Passenger","Number","280636"
"Population Usually Resident and Present in the State","2022","Male","All persons","All departure times","Van","Number","144452"
"Population Usually Resident and Present in the State","2022","Male","All persons","All departure times","Other, incl. lorry","Number","12414"
"Population Usually Resident and Present in the State","2022","Male","All persons","All departure times","Not stated","Number","139457"
"Population Usually Resident and Present in the State","2022","Male","All persons","All departure times","All means of travel","Number","1665891"
"Population Usually Resident and Present in the State","2022","Male","All persons","Before 06:30","On foot","Number","7994"
"Population Usually Resident and Present in the State","2022","Male","All persons","Before 06:30","Bicycle","Number","4928"
"Population Usually Resident and Present in the State","2022","Male","All persons","Before 06:30","Bus, minibus or coach","Number","9183"
"Population Usually Resident and Present in the State","2022","Male","All persons","Before 06:30","Train, DART or LUAS","Number","3754"
"Population Usually Resident and Present in the State","2022","Male","All persons","Before 06:30","Motorcycle or scooter","Number","948"
"Population Usually Resident and Present in the State","2022","Male","All persons","Before 06:30","Motor car: Driver","Number","91749"
"Population Usually Resident and Present in the State","2022","Male","All persons","Before 06:30","Motor car: Passenger","Number","7853"
"Population Usually Resident and Present in the State","2022","Male","All persons","Before 06:30","Van","Number","22523"
"Population Usually Resident and Present in the State","2022","Male","All persons","Before 06:30","Other, incl. lorry","Number","2804"
"Population Usually Resident and Present in the State","2022","Male","All persons","Before 06:30","Not stated","Number","556"
"Population Usually Resident and Present in the State","2022","Male","All persons","Before 06:30","All means of travel","Number","152292"
"Population Usually Resident and Present in the State","2022","Male","All persons","06:30 - 07:00","On foot","Number","9694"
"Population Usually Resident and Present in the State","2022","Male","All persons","06:30 - 07:00","Bicycle","Number","5759"
"Population Usually Resident and Present in the State","2022","Male","All persons","06:30 - 07:00","Bus, minibus or coach","Number","14929"
"Population Usually Resident and Present in the State","2022","Male","All persons","06:30 - 07:00","Train, DART or LUAS","Number","7145"
"Population Usually Resident and Present in the State","2022","Male","All persons","06:30 - 07:00","Motorcycle or scooter","Number","1185"
"Population Usually Resident and Present in the State","2022","Male","All persons","06:30 - 07:00","Motor car: Driver","Number","112146"
"Population Usually Resident and Present in the State","2022","Male","All persons","06:30 - 07:00","Motor car: Passenger","Number","9777"
"Population Usually Resident and Present in the State","2022","Male","All persons","06:30 - 07:00","Van","Number","36208"
"Population Usually Resident and Present in the State","2022","Male","All persons","06:30 - 07:00","Other, incl. lorry","Number","2634"
"Population Usually Resident and Present in the State","2022","Male","All persons","06:30 - 07:00","Not stated","Number","672"
"Population Usually Resident and Present in the State","2022","Male","All persons","06:30 - 07:00","All means of travel","Number","200149"
"Population Usually Resident and Present in the State","2022","Male","All persons","07:01 - 07:30","On foot","Number","7571"
"Population Usually Resident and Present in the State","2022","Male","All persons","07:01 - 07:30","Bicycle","Number","5152"
"Population Usually Resident and Present in the State","2022","Male","All persons","07:01 - 07:30","Bus, minibus or coach","Number","19114"
"Population Usually Resident and Present in the State","2022","Male","All persons","07:01 - 07:30","Train, DART or LUAS","Number","6957"
"Population Usually Resident and Present in the State","2022","Male","All persons","07:01 - 07:30","Motorcycle or scooter","Number","936"
"Population Usually Resident and Present in the State","2022","Male","All persons","07:01 - 07:30","Motor car: Driver","Number","84667"
"Population Usually Resident and Present in the State","2022","Male","All persons","07:01 - 07:30","Motor car: Passenger","Number","11448"
"Population Usually Resident and Present in the State","2022","Male","All persons","07:01 - 07:30","Van","Number","25293"
"Population Usually Resident and Present in the State","2022","Male","All persons","07:01 - 07:30","Other, incl. lorry","Number","1578"
"Population Usually Resident and Present in the State","2022","Male","All persons","07:01 - 07:30","Not stated","Number","492"
"Population Usually Resident and Present in the State","2022","Male","All persons","07:01 - 07:30","All means of travel","Number","163208"
"Population Usually Resident and Present in the State","2022","Male","All persons","07:31 - 08:00","On foot","Number","22795"
"Population Usually Resident and Present in the State","2022","Male","All persons","07:31 - 08:00","Bicycle","Number","12496"
"Population Usually Resident and Present in the State","2022","Male","All persons","07:31 - 08:00","Bus, minibus or coach","Number","48219"
"Population Usually Resident and Present in the State","2022","Male","All persons","07:31 - 08:00","Train, DART or LUAS","Number","11443"
"Population Usually Resident and Present in the State","2022","Male","All persons","07:31 - 08:00","Motorcycle or scooter","Number","1290"
"Population Usually Resident and Present in the State","2022","Male","All persons","07:31 - 08:00","Motor car: Driver","Number","111424"
"Population Usually Resident and Present in the State","2022","Male","All persons","07:31 - 08:00","Motor car: Passenger","Number","42001"
"Population Usually Resident and Present in the State","2022","Male","All persons","07:31 - 08:00","Van","Number","26635"
"Population Usually Resident and Present in the State","2022","Male","All persons","07:31 - 08:00","Other, incl. lorry","Number","1982"
"Population Usually Resident and Present in the State","2022","Male","All persons","07:31 - 08:00","Not stated","Number","1325"
"Population Usually Resident and Present in the State","2022","Male","All persons","07:31 - 08:00","All means of travel","Number","279610"
"Population Usually Resident and Present in the State","2022","Male","All persons","08:01 - 08:30","On foot","Number","65982"
"Population Usually Resident and Present in the State","2022","Male","All persons","08:01 - 08:30","Bicycle","Number","21357"
"Population Usually Resident and Present in the State","2022","Male","All persons","08:01 - 08:30","Bus, minibus or coach","Number","28613"
"Population Usually Resident and Present in the State","2022","Male","All persons","08:01 - 08:30","Train, DART or LUAS","Number","5711"
"Population Usually Resident and Present in the State","2022","Male","All persons","08:01 - 08:30","Motorcycle or scooter","Number","1149"
"Population Usually Resident and Present in the State","2022","Male","All persons","08:01 - 08:30","Motor car: Driver","Number","83241"
"Population Usually Resident and Present in the State","2022","Male","All persons","08:01 - 08:30","Motor car: Passenger","Number","105759"
"Population Usually Resident and Present in the State","2022","Male","All persons","08:01 - 08:30","Van","Number","14905"
"Population Usually Resident and Present in the State","2022","Male","All persons","08:01 - 08:30","Other, incl. lorry","Number","949"
"Population Usually Resident and Present in the State","2022","Male","All persons","08:01 - 08:30","Not stated","Number","2348"
"Population Usually Resident and Present in the State","2022","Male","All persons","08:01 - 08:30","All means of travel","Number","330014"
"Population Usually Resident and Present in the State","2022","Male","All persons","08:31 - 09:00","On foot","Number","54894"
"Population Usually Resident and Present in the State","2022","Male","All persons","08:31 - 09:00","Bicycle","Number","10349"
"Population Usually Resident and Present in the State","2022","Male","All persons","08:31 - 09:00","Bus, minibus or coach","Number","18223"
"Population Usually Resident and Present in the State","2022","Male","All persons","08:31 - 09:00","Train, DART or LUAS","Number","2884"
"Population Usually Resident and Present in the State","2022","Male","All persons","08:31 - 09:00","Motorcycle or scooter","Number","709"
"Population Usually Resident and Present in the State","2022","Male","All persons","08:31 - 09:00","Motor car: Driver","Number","47423"
"Population Usually Resident and Present in the State","2022","Male","All persons","08:31 - 09:00","Motor car: Passenger","Number","80377"
"Population Usually Resident and Present in the State","2022","Male","All persons","08:31 - 09:00","Van","Number","9105"
"Population Usually Resident and Present in the State","2022","Male","All persons","08:31 - 09:00","Other, incl. lorry","Number","656"
"Population Usually Resident and Present in the State","2022","Male","All persons","08:31 - 09:00","Not stated","Number","2030"
"Population Usually Resident and Present in the State","2022","Male","All persons","08:31 - 09:00","All means of travel","Number","226650"
"Population Usually Resident and Present in the State","2022","Male","All persons","09:01 - 09:30","On foot","Number","7301"
"Population Usually Resident and Present in the State","2022","Male","All persons","09:01 - 09:30","Bicycle","Number","1912"
"Population Usually Resident and Present in the State","2022","Male","All persons","09:01 - 09:30","Bus, minibus or coach","Number","3079"
"Population Usually Resident and Present in the State","2022","Male","All persons","09:01 - 09:30","Train, DART or LUAS","Number","753"
"Population Usually Resident and Present in the State","2022","Male","All persons","09:01 - 09:30","Motorcycle or scooter","Number","212"
"Population Usually Resident and Present in the State","2022","Male","All persons","09:01 - 09:30","Motor car: Driver","Number","11620"
"Population Usually Resident and Present in the State","2022","Male","All persons","09:01 - 09:30","Motor car: Passenger","Number","12708"
"Population Usually Resident and Present in the State","2022","Male","All persons","09:01 - 09:30","Van","Number","2149"
"Population Usually Resident and Present in the State","2022","Male","All persons","09:01 - 09:30","Other, incl. lorry","Number","175"
"Population Usually Resident and Present in the State","2022","Male","All persons","09:01 - 09:30","Not stated","Number","284"
"Population Usually Resident and Present in the State","2022","Male","All persons","09:01 - 09:30","All means of travel","Number","40193"
"Population Usually Resident and Present in the State","2022","Male","All persons","After 09:30","On foot","Number","17717"
"Population Usually Resident and Present in the State","2022","Male","All persons","After 09:30","Bicycle","Number","6033"
"Population Usually Resident and Present in the State","2022","Male","All persons","After 09:30","Bus, minibus or coach","Number","9723"
"Population Usually Resident and Present in the State","2022","Male","All persons","After 09:30","Train, DART or LUAS","Number","2860"
"Population Usually Resident and Present in the State","2022","Male","All persons","After 09:30","Motorcycle or scooter","Number","973"
"Population Usually Resident and Present in the State","2022","Male","All persons","After 09:30","Motor car: Driver","Number","47806"
"Population Usually Resident and Present in the State","2022","Male","All persons","After 09:30","Motor car: Passenger","Number","6133"
"Population Usually Resident and Present in the State","2022","Male","All persons","After 09:30","Van","Number","3628"
"Population Usually Resident and Present in the State","2022","Male","All persons","After 09:30","Other, incl. lorry","Number","453"
"Population Usually Resident and Present in the State","2022","Male","All persons","After 09:30","Not stated","Number","447"
"Population Usually Resident and Present in the State","2022","Male","All persons","After 09:30","All means of travel","Number","95773"
"Population Usually Resident and Present in the State","2022","Male","All persons","Not stated","On foot","Number","7546"
"Population Usually Resident and Present in the State","2022","Male","All persons","Not stated","Bicycle","Number","2046"
"Population Usually Resident and Present in the State","2022","Male","All persons","Not stated","Bus, minibus or coach","Number","4147"
"Population Usually Resident and Present in the State","2022","Male","All persons","Not stated","Train, DART or LUAS","Number","1161"
"Population Usually Resident and Present in the State","2022","Male","All persons","Not stated","Motorcycle or scooter","Number","256"
"Population Usually Resident and Present in the State","2022","Male","All persons","Not stated","Motor car: Driver","Number","21774"
"Population Usually Resident and Present in the State","2022","Male","All persons","Not stated","Motor car: Passenger","Number","4580"
"Population Usually Resident and Present in the State","2022","Male","All persons","Not stated","Van","Number","4006"
"Population Usually Resident and Present in the State","2022","Male","All persons","Not stated","Other, incl. lorry","Number","1183"
"Population Usually Resident and Present in the State","2022","Male","All persons","Not stated","Not stated","Number","131303"
"Population Usually Resident and Present in the State","2022","Male","All persons","Not stated","All means of travel","Number","178002"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","All departure times","On foot","Number","79279"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","All departure times","Bicycle","Number","43833"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","All departure times","Bus, minibus or coach","Number","54370"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","All departure times","Train, DART or LUAS","Number","31301"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","All departure times","Motorcycle or scooter","Number","7153"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","All departure times","Motor car: Driver","Number","585878"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","All departure times","Motor car: Passenger","Number","38846"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","All departure times","Van","Number","143102"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","All departure times","Other, incl. lorry","Number","11838"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","All departure times","Not stated","Number","91971"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","All departure times","All means of travel","Number","1087571"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","Before 06:30","On foot","Number","7495"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","Before 06:30","Bicycle","Number","4755"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","Before 06:30","Bus, minibus or coach","Number","8087"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","Before 06:30","Train, DART or LUAS","Number","3473"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","Before 06:30","Motorcycle or scooter","Number","938"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","Before 06:30","Motor car: Driver","Number","91149"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","Before 06:30","Motor car: Passenger","Number","6962"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","Before 06:30","Van","Number","22475"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","Before 06:30","Other, incl. lorry","Number","2795"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","Before 06:30","Not stated","Number","517"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","Before 06:30","All means of travel","Number","148646"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","06:30 - 07:00","On foot","Number","9139"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","06:30 - 07:00","Bicycle","Number","5541"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","06:30 - 07:00","Bus, minibus or coach","Number","11111"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","06:30 - 07:00","Train, DART or LUAS","Number","6058"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","06:30 - 07:00","Motorcycle or scooter","Number","1163"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","06:30 - 07:00","Motor car: Driver","Number","110143"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","06:30 - 07:00","Motor car: Passenger","Number","7920"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","06:30 - 07:00","Van","Number","36104"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","06:30 - 07:00","Other, incl. lorry","Number","2624"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","06:30 - 07:00","Not stated","Number","587"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","06:30 - 07:00","All means of travel","Number","190390"
